artist,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_pop,genres,track_pop,genres_list,subjectivity,polarity
ROLE MODEL,forever&more,0UMFm4ndFr3PH5VsVYnCNG,0.694,0.637,9,-5.896,1,0.0806,0.298,9.69e-06,0.123,0.506,83.982,56,alt_z bedroom_pop pov:_indie,0,"['alt_z', 'bedroom_pop', 'pov:_indie']",low,neutral
ROLE MODEL,hello!,7a2IJHzw9WJjoknwdnCop0,0.791,0.462,10,-4.023,1,0.0383,0.505,0.0,0.0991,0.556,125.913,56,alt_z bedroom_pop pov:_indie,57,"['alt_z', 'bedroom_pop', 'pov:_indie']",low,neutral
ROLE MODEL,gucci chair,0GD2v2Gl24z7F6bLl4fn7M,0.368,0.469,1,-7.8,0,0.0346,0.304,0.0164,0.107,0.129,150.447,56,alt_z bedroom_pop pov:_indie,36,"['alt_z', 'bedroom_pop', 'pov:_indie']",low,neutral
ROLE MODEL,that's just how it goes,4J4rJEaVpgr2tHwX6Jd13H,0.778,0.629,7,-5.011,0,0.031,0.189,0.000293,0.149,0.48,108.023,56,alt_z bedroom_pop pov:_indie,53,"['alt_z', 'bedroom_pop', 'pov:_indie']",low,neutral
ROLE MODEL,notice me (feat. BENEE),3WowsoNoWeMqTH2suWv9MW,0.72,0.481,8,-6.516,0,0.0432,0.136,0.0034,0.301,0.253,126.005,56,alt_z bedroom_pop pov:_indie,55,"['alt_z', 'bedroom_pop', 'pov:_indie']",low,neutral
ROLE MODEL,say it first,0XSncrobBZoW1A0bFh8Ttx,0.799,0.398,9,-5.838,1,0.0445,0.142,0.0,0.107,0.388,93.933,56,alt_z bedroom_pop pov:_indie,46,"['alt_z', 'bedroom_pop', 'pov:_indie']",medium,positive
ROLE MODEL,thank you for coming,6QHHQuaCoTEb5KBAMhruDI,0.71,0.574,9,-6.821,0,0.0241,0.431,0.00419,0.286,0.504,99.968,56,alt_z bedroom_pop pov:_indie,37,"['alt_z', 'bedroom_pop', 'pov:_indie']",low,neutral
ROLE MODEL,minimal,28sNP4vXS6EtFr2VKPhCTQ,0.575,0.679,1,-4.442,1,0.0432,0.547,0.0,0.34,0.204,169.886,56,alt_z bedroom_pop pov:_indie,52,"['alt_z', 'bedroom_pop', 'pov:_indie']",high,negative
ROLE MODEL,six speed,3pU68iUbatcIjQD7PlIzFX,0.518,0.183,0,-10.246,1,0.043,0.887,0.0,0.108,0.106,109.011,56,alt_z bedroom_pop pov:_indie,44,"['alt_z', 'bedroom_pop', 'pov:_indie']",low,neutral
ROLE MODEL,girl in new york,6APTEV2EIRpBEvuTrS5XTv,0.621,0.555,9,-7.854,1,0.0299,0.0405,0.152,0.111,0.0817,92.031,56,alt_z bedroom_pop pov:_indie,53,"['alt_z', 'bedroom_pop', 'pov:_indie']",high,positive
Dayglow,Can I Call You Tonight?,64lsIF5pw0sJY0gV5kz0RN,0.641,0.842,9,-7.27,1,0.0292,0.132,0.91,0.419,0.5,129.98,64,austindie indie_rock pov:_indie,25,"['austindie', 'indie_rock', 'pov:_indie']",low,neutral
Dayglow,Hot Rod,0zePbRMJ9sd7wsZRlbPQua,0.707,0.767,7,-7.072,1,0.0323,0.0279,0.000295,0.169,0.832,139.985,64,austindie indie_rock pov:_indie,2,"['austindie', 'indie_rock', 'pov:_indie']",high,positive
Dayglow,Fuzzybrain,57HJa4ktE7iHGrbFhwzEr2,0.488,0.51,7,-8.367,1,0.026,0.0233,0.15,0.143,0.368,104.959,64,austindie indie_rock pov:_indie,0,"['austindie', 'indie_rock', 'pov:_indie']",low,neutral
Cannons,Fire for You,4o0LyB69tylqDG6eTGhmig,0.737,0.678,6,-7.011,0,0.0962,0.114,0.157,0.123,0.698,102.051,61,unknown,72,['unknown'],low,neutral
Glass Animals,Heat Waves,6CDzDgIUqeDY5g8ujExx2f,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,74,gauze_pop indietronica modern_rock pov:_indie shiver_pop,28,"['gauze_pop', 'indietronica', 'modern_rock', 'pov:_indie', 'shiver_pop']",low,neutral
Foster The People,Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,70,indietronica modern_alternative_rock modern_rock rock,85,"['indietronica', 'modern_alternative_rock', 'modern_rock', 'rock']",low,neutral
Of Monsters and Men,Little Talks,2ihCaVdNZmnHZWt0fvAM7B,0.457,0.757,1,-5.177,1,0.032,0.0206,0.0,0.146,0.417,102.961,67,folk-pop metropopolis modern_rock stomp_and_holler,81,"['folk-pop', 'metropopolis', 'modern_rock', 'stomp_and_holler']",high,negative
Alec Benjamin,If We Have Each Other,7pT6WSg4PCt4mr5ZFyUfsF,0.656,0.577,10,-5.566,0,0.0802,0.698,0.0,0.296,0.861,173.094,74,alt_z pop pov:_indie,78,"['alt_z', 'pop', 'pov:_indie']",high,negative
Alec Benjamin,Water Fountain,4IhKLu7Vk3j2TLmnFPl6To,0.723,0.504,8,-5.572,1,0.0392,0.388,7.4e-05,0.087,0.551,133.975,74,alt_z pop pov:_indie,77,"['alt_z', 'pop', 'pov:_indie']",low,neutral
Alec Benjamin,Annabelle's Homework,0DYRjWiFJHvLjxRrywtltC,0.676,0.634,8,-5.377,1,0.0385,0.701,1.63e-06,0.223,0.33,86.004,74,alt_z pop pov:_indie,55,"['alt_z', 'pop', 'pov:_indie']",low,neutral
Alec Benjamin,Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,0.652,0.557,1,-5.714,0,0.0318,0.74,0.0,0.124,0.483,150.073,74,alt_z pop pov:_indie,86,"['alt_z', 'pop', 'pov:_indie']",high,negative
Alec Benjamin,Boy In The Bubble,60cYr5uuMoxvyuIx45rGEW,0.817,0.578,11,-7.579,0,0.0824,0.224,0.00103,0.251,0.851,143.982,74,alt_z pop pov:_indie,69,"['alt_z', 'pop', 'pov:_indie']",low,neutral
Alec Benjamin,Steve,211LaT5hzPOKolVtgzwWnq,0.348,0.353,10,-9.012,1,0.0334,0.845,0.0,0.181,0.866,80.558,74,alt_z pop pov:_indie,53,"['alt_z', 'pop', 'pov:_indie']",low,neutral
Alec Benjamin,If I Killed Someone For You,0WHi11uzahqpEtPGYCW6oQ,0.514,0.605,7,-5.363,1,0.0337,0.774,2.91e-06,0.121,0.409,120.894,74,alt_z pop pov:_indie,72,"['alt_z', 'pop', 'pov:_indie']",low,negative
Alec Benjamin,1994,5Ys68FZdQFcFw7IgkANVoM,0.772,0.613,8,-6.185,1,0.0692,0.281,3.52e-06,0.206,0.862,87.022,74,alt_z pop pov:_indie,55,"['alt_z', 'pop', 'pov:_indie']",low,neutral
Alec Benjamin,Must Have Been The Wind,6lERHAmBCZmgODv3OYENXi,0.653,0.644,7,-6.204,1,0.0572,0.784,0.000202,0.161,0.363,88.968,74,alt_z pop pov:_indie,63,"['alt_z', 'pop', 'pov:_indie']",low,neutral
Crowded House,Don't Dream It's Over,7G7tgVYORlDuVprcYHuFJh,0.439,0.422,8,-17.227,1,0.0409,0.0148,4.84e-05,0.0697,0.551,81.833,64,australian_rock permanent_wave,77,"['australian_rock', 'permanent_wave']",low,neutral
Panic! At The Disco,Dying in LA,18xmRkPWE0sGUzFyNNAAhN,0.346,0.35,2,-4.988,1,0.0328,0.876,1.98e-06,0.0708,0.315,126.444,76,pop,55,['pop'],low,neutral
The Lumineers,Ophelia,3d8y0t70g7hw2FOWl9Z4Fm,0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,77,folk-pop modern_rock stomp_and_holler,78,"['folk-pop', 'modern_rock', 'stomp_and_holler']",low,neutral
The Lumineers,Ho Hey,0W4Kpfp1w2xkY3PrV714B7,0.685,0.466,0,-9.074,1,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,77,folk-pop modern_rock stomp_and_holler,78,"['folk-pop', 'modern_rock', 'stomp_and_holler']",low,neutral
The Lumineers,Stubborn Love,3ekNuTF3UpOvIZCfiejpnC,0.598,0.56,0,-11.679,1,0.0375,0.607,0.0432,0.196,0.221,115.01,77,folk-pop modern_rock stomp_and_holler,73,"['folk-pop', 'modern_rock', 'stomp_and_holler']",high,positive
The Lumineers,Salt And The Sea,5EKqsMU2tn1iAYNQF8h0ll,0.63,0.31,9,-9.253,1,0.028,0.704,0.0011,0.128,0.0712,93.067,77,folk-pop modern_rock stomp_and_holler,60,"['folk-pop', 'modern_rock', 'stomp_and_holler']",low,neutral
The Lumineers,Cleopatra,2ToW7zhGCrVrLU4fiKj9U1,0.536,0.775,8,-6.765,1,0.0394,0.228,0.000143,0.0947,0.485,151.393,77,folk-pop modern_rock stomp_and_holler,73,"['folk-pop', 'modern_rock', 'stomp_and_holler']",low,neutral
The Lumineers,Life In The City,5WyL4ZuwJ06qVd8X5bf2b5,0.743,0.57,0,-7.376,1,0.0335,0.506,5.18e-05,0.0994,0.273,97.005,77,folk-pop modern_rock stomp_and_holler,56,"['folk-pop', 'modern_rock', 'stomp_and_holler']",low,neutral
Coyote Theory,This Side of Paradise,79EkGysjP2dL5GdpeQjRxT,0.306,0.664,9,-6.07,1,0.0276,0.432,7.5e-06,0.135,0.321,158.283,61,unknown,80,['unknown'],low,neutral
Lana Del Rey,Venice Bitch,3hwQhakFwm9soLEBnSDH17,0.368,0.286,9,-13.031,0,0.0294,0.913,0.177,0.099,0.312,77.826,90,art_pop pop,70,"['art_pop', 'pop']",low,neutral
Lana Del Rey,Love song,5tyMJlMqaggzvuX7TtlrTe,0.384,0.0701,9,-16.512,1,0.0367,0.966,0.00017,0.0805,0.288,63.425,90,art_pop pop,70,"['art_pop', 'pop']",high,positive
Lana Del Rey,Cinnamon Girl,2mdEsXPu8ZmkHRRtAdC09e,0.294,0.337,6,-10.614,0,0.036,0.814,0.414,0.14,0.135,91.781,90,art_pop pop,85,"['art_pop', 'pop']",low,neutral
Lana Del Rey,California,7oTE1KmtU2ml9zBhv9Reao,0.449,0.41,9,-8.067,0,0.0317,0.761,0.0,0.0631,0.195,123.758,90,art_pop pop,68,"['art_pop', 'pop']",low,neutral
Lana Del Rey,The greatest,6ERZ30cRjVWGtVLhczX9aL,0.443,0.226,2,-12.507,0,0.0359,0.939,0.0201,0.14,0.196,79.142,90,art_pop pop,68,"['art_pop', 'pop']",high,positive
