,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,analysis_url,duration_ms,time_signature,artist_pop,genres,track_pop
0,ROLE MODEL,forever&more,forever&more,0UMFm4ndFr3PH5VsVYnCNG,0.694,0.637,9,-5.896,1,0.0806,0.298,9.69e-06,0.123,0.506,83.982,https://api.spotify.com/v1/tracks/0UMFm4ndFr3PH5VsVYnCNG,https://api.spotify.com/v1/audio-analysis/0UMFm4ndFr3PH5VsVYnCNG,175609,4,56,alt_z bedroom_pop pov:_indie,0
1,ROLE MODEL,"oh, how perfect",hello!,7a2IJHzw9WJjoknwdnCop0,0.791,0.462,10,-4.023,1,0.0383,0.505,0.0,0.0991,0.556,125.913,https://api.spotify.com/v1/tracks/7a2IJHzw9WJjoknwdnCop0,https://api.spotify.com/v1/audio-analysis/7a2IJHzw9WJjoknwdnCop0,188547,4,56,alt_z bedroom_pop pov:_indie,57
2,ROLE MODEL,"oh, how perfect",gucci chair,0GD2v2Gl24z7F6bLl4fn7M,0.368,0.469,1,-7.8,0,0.0346,0.304,0.0164,0.107,0.129,150.447,https://api.spotify.com/v1/tracks/0GD2v2Gl24z7F6bLl4fn7M,https://api.spotify.com/v1/audio-analysis/0GD2v2Gl24z7F6bLl4fn7M,187613,3,56,alt_z bedroom_pop pov:_indie,36
3,ROLE MODEL,"oh, how perfect",that's just how it goes,4J4rJEaVpgr2tHwX6Jd13H,0.778,0.629,7,-5.011,0,0.031,0.189,0.000293,0.149,0.48,108.023,https://api.spotify.com/v1/tracks/4J4rJEaVpgr2tHwX6Jd13H,https://api.spotify.com/v1/audio-analysis/4J4rJEaVpgr2tHwX6Jd13H,166400,4,56,alt_z bedroom_pop pov:_indie,53
4,ROLE MODEL,"oh, how perfect",notice me (feat. BENEE),3WowsoNoWeMqTH2suWv9MW,0.72,0.481,8,-6.516,0,0.0432,0.136,0.0034,0.301,0.253,126.005,https://api.spotify.com/v1/tracks/3WowsoNoWeMqTH2suWv9MW,https://api.spotify.com/v1/audio-analysis/3WowsoNoWeMqTH2suWv9MW,191880,4,56,alt_z bedroom_pop pov:_indie,55
5,ROLE MODEL,"oh, how perfect",say it first,0XSncrobBZoW1A0bFh8Ttx,0.799,0.398,9,-5.838,1,0.0445,0.142,0.0,0.107,0.388,93.933,https://api.spotify.com/v1/tracks/0XSncrobBZoW1A0bFh8Ttx,https://api.spotify.com/v1/audio-analysis/0XSncrobBZoW1A0bFh8Ttx,159480,4,56,alt_z bedroom_pop pov:_indie,46
6,ROLE MODEL,"oh, how perfect",thank you for coming,6QHHQuaCoTEb5KBAMhruDI,0.71,0.574,9,-6.821,0,0.0241,0.431,0.00419,0.286,0.504,99.968,https://api.spotify.com/v1/tracks/6QHHQuaCoTEb5KBAMhruDI,https://api.spotify.com/v1/audio-analysis/6QHHQuaCoTEb5KBAMhruDI,165040,4,56,alt_z bedroom_pop pov:_indie,37
7,ROLE MODEL,minimal,minimal,28sNP4vXS6EtFr2VKPhCTQ,0.575,0.679,1,-4.442,1,0.0432,0.547,0.0,0.34,0.204,169.886,https://api.spotify.com/v1/tracks/28sNP4vXS6EtFr2VKPhCTQ,https://api.spotify.com/v1/audio-analysis/28sNP4vXS6EtFr2VKPhCTQ,163340,3,56,alt_z bedroom_pop pov:_indie,52
8,ROLE MODEL,six speed,six speed,3pU68iUbatcIjQD7PlIzFX,0.518,0.183,0,-10.246,1,0.043,0.887,0.0,0.108,0.106,109.011,https://api.spotify.com/v1/tracks/3pU68iUbatcIjQD7PlIzFX,https://api.spotify.com/v1/audio-analysis/3pU68iUbatcIjQD7PlIzFX,207573,4,56,alt_z bedroom_pop pov:_indie,44
9,ROLE MODEL,girl in new york,girl in new york,6APTEV2EIRpBEvuTrS5XTv,0.621,0.555,9,-7.854,1,0.0299,0.0405,0.152,0.111,0.0817,92.031,https://api.spotify.com/v1/tracks/6APTEV2EIRpBEvuTrS5XTv,https://api.spotify.com/v1/audio-analysis/6APTEV2EIRpBEvuTrS5XTv,211304,4,56,alt_z bedroom_pop pov:_indie,53
10,Dayglow,Fuzzybrain,Can I Call You Tonight?,64lsIF5pw0sJY0gV5kz0RN,0.641,0.842,9,-7.27,1,0.0292,0.132,0.91,0.419,0.5,129.98,https://api.spotify.com/v1/tracks/64lsIF5pw0sJY0gV5kz0RN,https://api.spotify.com/v1/audio-analysis/64lsIF5pw0sJY0gV5kz0RN,278769,4,64,austindie indie_rock pov:_indie,25
11,Dayglow,Fuzzybrain,Hot Rod,0zePbRMJ9sd7wsZRlbPQua,0.707,0.767,7,-7.072,1,0.0323,0.0279,0.000295,0.169,0.832,139.985,https://api.spotify.com/v1/tracks/0zePbRMJ9sd7wsZRlbPQua,https://api.spotify.com/v1/audio-analysis/0zePbRMJ9sd7wsZRlbPQua,204014,4,64,austindie indie_rock pov:_indie,2
12,Dayglow,Fuzzybrain,Fuzzybrain,57HJa4ktE7iHGrbFhwzEr2,0.488,0.51,7,-8.367,1,0.026,0.0233,0.15,0.143,0.368,104.959,https://api.spotify.com/v1/tracks/57HJa4ktE7iHGrbFhwzEr2,https://api.spotify.com/v1/audio-analysis/57HJa4ktE7iHGrbFhwzEr2,219429,4,64,austindie indie_rock pov:_indie,0
13,Cannons,Shadows,Fire for You,4o0LyB69tylqDG6eTGhmig,0.737,0.678,6,-7.011,0,0.0962,0.114,0.157,0.123,0.698,102.051,https://api.spotify.com/v1/tracks/4o0LyB69tylqDG6eTGhmig,https://api.spotify.com/v1/audio-analysis/4o0LyB69tylqDG6eTGhmig,231826,4,61,unknown,72
14,Glass Animals,Heat Waves,Heat Waves,6CDzDgIUqeDY5g8ujExx2f,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,https://api.spotify.com/v1/tracks/6CDzDgIUqeDY5g8ujExx2f,https://api.spotify.com/v1/audio-analysis/6CDzDgIUqeDY5g8ujExx2f,238805,4,74,gauze_pop indietronica modern_rock pov:_indie shiver_pop,28
15,Foster The People,Torches,Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,https://api.spotify.com/v1/tracks/7w87IxuO7BDcJ3YUqCyMTT,https://api.spotify.com/v1/audio-analysis/7w87IxuO7BDcJ3YUqCyMTT,239600,4,70,indietronica modern_alternative_rock modern_rock rock,85
